CustomerId,CustomerNumber,CustomerName,CustomerType,Segment,Country,Region,ServiceLevelTargetPct,DefaultShipToLocation
1,CUS000001,Customer 000001,Consumer,Standard,GB,EAST,99.49,27
2,CUS000002,Customer 000002,Consumer,Value,GB,NORTH,96.46,27
3,CUS000003,Customer 000003,Consumer,Premium,GB,SOUTH,94.56,24
4,CUS000004,Customer 000004,Consumer,Standard,GB,MIDLANDS,96.99,24
5,CUS000005,Customer 000005,Consumer,Premium,GB,MIDLANDS,96.24,27
6,CUS000006,Customer 000006,Consumer,Standard,GB,EAST,96.22,27
7,CUS000007,Customer 000007,Consumer,Premium,GB,SCOTLAND,96.03,16
8,CUS000008,Customer 000008,Consumer,Standard,GB,SCOTLAND,97.33,27
9,CUS000009,Customer 000009,Consumer,Value,GB,SOUTH,98.15,16
10,CUS000010,Customer 000010,Consumer,Standard,GB,SCOTLAND,97.7,16
11,CUS000011,Customer 000011,Consumer,Standard,GB,SCOTLAND,93.15,27
12,CUS000012,Customer 000012,Consumer,Standard,GB,EAST,98.21,24
13,CUS000013,Customer 000013,Consumer,Value,GB,MIDLANDS,94.47,24
14,CUS000014,Customer 000014,Consumer,Value,GB,EAST,98.29,27
15,CUS000015,Customer 000015,Consumer,Standard,GB,NORTH,93.2,24
16,CUS000016,Customer 000016,B2B,Value,GB,EAST,98.49,24
17,CUS000017,Customer 000017,Consumer,Value,GB,SCOTLAND,93.96,27
18,CUS000018,Customer 000018,Consumer,Value,GB,MIDLANDS,95.94,3
19,CUS000019,Customer 000019,Consumer,Value,GB,SOUTH,95.86,16
20,CUS000020,Customer 000020,Consumer,Value,GB,NORTH,98.27,16
21,CUS000021,Customer 000021,B2B,Premium,GB,SOUTH,99.16,3
22,CUS000022,Customer 000022,Consumer,Value,GB,WEST,98.42,24
23,CUS000023,Customer 000023,Consumer,Premium,GB,WEST,96.17,24
24,CUS000024,Customer 000024,Consumer,Value,GB,MIDLANDS,99.26,16
25,CUS000025,Customer 000025,Consumer,Standard,GB,WEST,98.26,24
26,CUS000026,Customer 000026,Consumer,Premium,GB,EAST,96.59,24
27,CUS000027,Customer 000027,B2B,Premium,GB,NORTH,93.46,3
28,CUS000028,Customer 000028,B2B,Value,GB,SCOTLAND,94.15,16
29,CUS000029,Customer 000029,B2B,Value,GB,SOUTH,93.51,27
30,CUS000030,Customer 000030,Consumer,Premium,GB,SOUTH,99.33,27
31,CUS000031,Customer 000031,Consumer,Value,GB,MIDLANDS,93.17,27
32,CUS000032,Customer 000032,B2B,Standard,GB,NORTH,95.64,24
33,CUS000033,Customer 000033,Consumer,Premium,GB,EAST,93.13,16
34,CUS000034,Customer 000034,Consumer,Premium,GB,SCOTLAND,96.22,24
35,CUS000035,Customer 000035,Consumer,Value,GB,NORTH,99.28,24
36,CUS000036,Customer 000036,B2B,Value,GB,MIDLANDS,96.95,3
37,CUS000037,Customer 000037,B2B,Standard,GB,SCOTLAND,93.55,27
38,CUS000038,Customer 000038,Consumer,Standard,GB,SOUTH,99.25,24
39,CUS000039,Customer 000039,Consumer,Value,GB,SCOTLAND,96.1,3
40,CUS000040,Customer 000040,Consumer,Value,GB,NORTH,96.08,3
41,CUS000041,Customer 000041,B2B,Standard,GB,SCOTLAND,93.55,24
42,CUS000042,Customer 000042,Consumer,Value,GB,EAST,98.67,24
43,CUS000043,Customer 000043,Consumer,Value,GB,SOUTH,94.31,27
44,CUS000044,Customer 000044,B2B,Value,GB,EAST,95.73,16
45,CUS000045,Customer 000045,Consumer,Value,GB,WEST,93.66,3
46,CUS000046,Customer 000046,Consumer,Standard,GB,SCOTLAND,96.21,16
47,CUS000047,Customer 000047,B2B,Value,GB,SCOTLAND,95.4,3
48,CUS000048,Customer 000048,Consumer,Value,GB,MIDLANDS,95.56,16
49,CUS000049,Customer 000049,Consumer,Premium,GB,NORTH,95.22,27
50,CUS000050,Customer 000050,B2B,Standard,GB,SOUTH,99.22,16
51,CUS000051,Customer 000051,Consumer,Standard,GB,NORTH,98.47,27
52,CUS000052,Customer 000052,Consumer,Standard,GB,WEST,99.3,3
53,CUS000053,Customer 000053,Consumer,Standard,GB,SOUTH,98.05,24
54,CUS000054,Customer 000054,Consumer,Standard,GB,EAST,96.69,16
55,CUS000055,Customer 000055,Consumer,Value,GB,SOUTH,97.77,27
56,CUS000056,Customer 000056,Consumer,Standard,GB,NORTH,97.93,24
57,CUS000057,Customer 000057,Consumer,Standard,GB,NORTH,94.21,24
58,CUS000058,Customer 000058,Consumer,Value,GB,SCOTLAND,94.42,3
59,CUS000059,Customer 000059,Consumer,Standard,GB,SOUTH,93.62,16
60,CUS000060,Customer 000060,Consumer,Premium,GB,NORTH,98.07,27
61,CUS000061,Customer 000061,B2B,Standard,GB,MIDLANDS,95.32,24
62,CUS000062,Customer 000062,Consumer,Standard,GB,NORTH,92.88,3
63,CUS000063,Customer 000063,Consumer,Standard,GB,WEST,96.38,24
64,CUS000064,Customer 000064,Consumer,Value,GB,SCOTLAND,95.85,27
65,CUS000065,Customer 000065,Consumer,Value,GB,WEST,96.33,24
66,CUS000066,Customer 000066,Consumer,Value,GB,WEST,98.74,24
67,CUS000067,Customer 000067,B2B,Standard,GB,SCOTLAND,97.26,3
68,CUS000068,Customer 000068,Consumer,Value,GB,MIDLANDS,93.64,3
69,CUS000069,Customer 000069,Consumer,Value,GB,SCOTLAND,98.24,3
70,CUS000070,Customer 000070,Consumer,Value,GB,NORTH,93.22,16
71,CUS000071,Customer 000071,Consumer,Standard,GB,MIDLANDS,98.28,3
72,CUS000072,Customer 000072,Consumer,Standard,GB,SCOTLAND,96.55,3
73,CUS000073,Customer 000073,Consumer,Standard,GB,SOUTH,97.18,24
74,CUS000074,Customer 000074,Consumer,Standard,GB,MIDLANDS,92.81,24
75,CUS000075,Customer 000075,Consumer,Standard,GB,WEST,92.13,16
76,CUS000076,Customer 000076,B2B,Premium,GB,NORTH,99.49,24
77,CUS000077,Customer 000077,Consumer,Standard,GB,NORTH,99.18,3
78,CUS000078,Customer 000078,Consumer,Value,GB,SCOTLAND,95.97,3
79,CUS000079,Customer 000079,Consumer,Premium,GB,SCOTLAND,95.61,16
80,CUS000080,Customer 000080,B2B,Standard,GB,MIDLANDS,92.74,16
81,CUS000081,Customer 000081,Consumer,Standard,GB,WEST,93.74,16
82,CUS000082,Customer 000082,Consumer,Value,GB,NORTH,98.04,3
83,CUS000083,Customer 000083,Consumer,Value,GB,SOUTH,96.54,3
84,CUS000084,Customer 000084,B2B,Standard,GB,WEST,93.39,3
85,CUS000085,Customer 000085,Consumer,Value,GB,WEST,93.37,3
86,CUS000086,Customer 000086,Consumer,Standard,GB,SCOTLAND,98.12,16
87,CUS000087,Customer 000087,Consumer,Standard,GB,NORTH,93.17,27
88,CUS000088,Customer 000088,Consumer,Value,GB,WEST,92.27,27
89,CUS000089,Customer 000089,Consumer,Premium,GB,SOUTH,94.97,16
90,CUS000090,Customer 000090,Consumer,Value,GB,MIDLANDS,95.27,24
91,CUS000091,Customer 000091,Consumer,Value,GB,EAST,97.69,3
92,CUS000092,Customer 000092,B2B,Standard,GB,SCOTLAND,93.38,16
93,CUS000093,Customer 000093,B2B,Standard,GB,MIDLANDS,93.95,16
94,CUS000094,Customer 000094,B2B,Value,GB,SOUTH,92.71,24
95,CUS000095,Customer 000095,Consumer,Premium,GB,NORTH,99.24,24
96,CUS000096,Customer 000096,Consumer,Value,GB,MIDLANDS,98.03,16
